trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.35, 'e': 0.055071921103899274}",25,14,17.961108628530315,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.35, 'e': 0.055036064673048404}",20,8,21.611976372642346,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.35, 'e': 0.05500063383404614}",20,9,13.704665553081451,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.35, 'e': 0.05496562105438156}",20,16,5.989471828168625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.35, 'e': 0.054931018978256994}",20,0,21.432150482887337,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.35, 'e': 0.05489682042143609}",25,17,13.113022983798276,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.35, 'e': 0.05486301836627114}",25,10,25.436980320053827,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.35, 'e': 0.0548296059569023}",20,8,19.33581585339538,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.35, 'e': 0.05479657649462194}",25,15,7.15428944306827,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.35, 'e': 0.05476392343339745}",20,0,22.201729822738695,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.35, 'e': 0.05473164037554621}",20,14,8.656467881453302,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.35, 'e': 0.05469972106755681}",20,10,16.519553634648368,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.35, 'e': 0.054668159396050686}",20,2,1.4640004989802542,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
179,False,"{'a': 0.35, 'e': 0.05463694938387878}",20,0,1.61940102657645,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
180,False,"{'a': 0.35, 'e': 0.054606085186347915}",20,3,-44.91475165009128,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
181,False,"{'a': 0.35, 'e': 0.05457556108757193}",25,0,11.862810090324153,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
182,False,"{'a': 0.35, 'e': 0.05454537149694278}",20,0,33.15976786783519,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.35, 'e': 0.05451551094571701}",25,11,1.9377314882452372,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
